fecha,turno,dia_semana,horario,cantidad
26/11/2019,siesta,martes,De 13:45 hs. a 14:00 hs.,318
27/11/2019,siesta,miercoles,De 13:45 hs. a 14:00 hs.,300
28/11/2019,siesta,jueves,De 13:45 hs. a 14:00 hs.,292
29/11/2019,siesta,viernes,De 13:45 hs. a 14:00 hs.,312
30/11/2019,siesta,sabado,De 13:45 hs. a 14:00 hs.,353
01/11/2019,siesta,viernes,De 14:00 hs. a 14:15 hs.,267
02/11/2019,siesta,sabado,De 14:00 hs. a 14:15 hs.,195
03/11/2019,siesta,domingo,De 14:00 hs. a 14:15 hs.,188
04/11/2019,siesta,lunes,De 14:00 hs. a 14:15 hs.,265
05/11/2019,siesta,martes,De 14:00 hs. a 14:15 hs.,244
06/11/2019,siesta,miercoles,De 14:00 hs. a 14:15 hs.,269
07/11/2019,siesta,jueves,De 14:00 hs. a 14:15 hs.,276
08/11/2019,siesta,viernes,De 14:00 hs. a 14:15 hs.,259
09/11/2019,siesta,sabado,De 14:00 hs. a 14:15 hs.,227
10/11/2019,siesta,domingo,De 14:00 hs. a 14:15 hs.,139
11/11/2019,siesta,lunes,De 14:00 hs. a 14:15 hs.,248
12/11/2019,siesta,martes,De 14:00 hs. a 14:15 hs.,245
13/11/2019,siesta,miercoles,De 14:00 hs. a 14:15 hs.,356
14/11/2019,siesta,jueves,De 14:00 hs. a 14:15 hs.,331
15/11/2019,siesta,viernes,De 14:00 hs. a 14:15 hs.,289
16/11/2019,siesta,sabado,De 14:00 hs. a 14:15 hs.,297
17/11/2019,siesta,domingo,De 14:00 hs. a 14:15 hs.,222
18/11/2019,siesta,lunes,De 14:00 hs. a 14:15 hs.,247
19/11/2019,siesta,martes,De 14:00 hs. a 14:15 hs.,4
20/11/2019,siesta,miercoles,De 14:00 hs. a 14:15 hs.,249
21/11/2019,siesta,jueves,De 14:00 hs. a 14:15 hs.,276
22/11/2019,siesta,viernes,De 14:00 hs. a 14:15 hs.,275
23/11/2019,siesta,sabado,De 14:00 hs. a 14:15 hs.,207
24/11/2019,siesta,domingo,De 14:00 hs. a 14:15 hs.,184
25/11/2019,siesta,lunes,De 14:00 hs. a 14:15 hs.,331
26/11/2019,siesta,martes,De 14:00 hs. a 14:15 hs.,306
27/11/2019,siesta,miercoles,De 14:00 hs. a 14:15 hs.,348
28/11/2019,siesta,jueves,De 14:00 hs. a 14:15 hs.,283
29/11/2019,siesta,viernes,De 14:00 hs. a 14:15 hs.,308
30/11/2019,siesta,sabado,De 14:00 hs. a 14:15 hs.,381
01/11/2019,siesta,viernes,De 14:15 hs. a 14:30 hs.,278
02/11/2019,siesta,sabado,De 14:15 hs. a 14:30 hs.,193
03/11/2019,siesta,domingo,De 14:15 hs. a 14:30 hs.,157
04/11/2019,siesta,lunes,De 14:15 hs. a 14:30 hs.,231
05/11/2019,siesta,martes,De 14:15 hs. a 14:30 hs.,269
06/11/2019,siesta,miercoles,De 14:15 hs. a 14:30 hs.,257
07/11/2019,siesta,jueves,De 14:15 hs. a 14:30 hs.,272
08/11/2019,siesta,viernes,De 14:15 hs. a 14:30 hs.,222
09/11/2019,siesta,sabado,De 14:15 hs. a 14:30 hs.,238
10/11/2019,siesta,domingo,De 14:15 hs. a 14:30 hs.,136
11/11/2019,siesta,lunes,De 14:15 hs. a 14:30 hs.,258
12/11/2019,siesta,martes,De 14:15 hs. a 14:30 hs.,255
13/11/2019,siesta,miercoles,De 14:15 hs. a 14:30 hs.,332
14/11/2019,siesta,jueves,De 14:15 hs. a 14:30 hs.,326
15/11/2019,siesta,viernes,De 14:15 hs. a 14:30 hs.,327
16/11/2019,siesta,sabado,De 14:15 hs. a 14:30 hs.,305
17/11/2019,siesta,domingo,De 14:15 hs. a 14:30 hs.,213
18/11/2019,siesta,lunes,De 14:15 hs. a 14:30 hs.,241
19/11/2019,siesta,martes,De 14:15 hs. a 14:30 hs.,276
20/11/2019,siesta,miercoles,De 14:15 hs. a 14:30 hs.,265
21/11/2019,siesta,jueves,De 14:15 hs. a 14:30 hs.,237
22/11/2019,siesta,viernes,De 14:15 hs. a 14:30 hs.,273
23/11/2019,siesta,sabado,De 14:15 hs. a 14:30 hs.,201
24/11/2019,siesta,domingo,De 14:15 hs. a 14:30 hs.,147
25/11/2019,siesta,lunes,De 14:15 hs. a 14:30 hs.,307
26/11/2019,siesta,martes,De 14:15 hs. a 14:30 hs.,314
27/11/2019,siesta,miercoles,De 14:15 hs. a 14:30 hs.,305
28/11/2019,siesta,jueves,De 14:15 hs. a 14:30 hs.,276
29/11/2019,siesta,viernes,De 14:15 hs. a 14:30 hs.,316
30/11/2019,siesta,sabado,De 14:15 hs. a 14:30 hs.,288
01/11/2019,siesta,viernes,De 14:30 hs. a 14:45 hs.,268
02/11/2019,siesta,sabado,De 14:30 hs. a 14:45 hs.,200
03/11/2019,siesta,domingo,De 14:30 hs. a 14:45 hs.,170
04/11/2019,siesta,lunes,De 14:30 hs. a 14:45 hs.,294
05/11/2019,siesta,martes,De 14:30 hs. a 14:45 hs.,228
06/11/2019,siesta,miercoles,De 14:30 hs. a 14:45 hs.,284
07/11/2019,siesta,jueves,De 14:30 hs. a 14:45 hs.,223
08/11/2019,siesta,viernes,De 14:30 hs. a 14:45 hs.,240
09/11/2019,siesta,sabado,De 14:30 hs. a 14:45 hs.,198
10/11/2019,siesta,domingo,De 14:30 hs. a 14:45 hs.,167
11/11/2019,siesta,lunes,De 14:30 hs. a 14:45 hs.,244
12/11/2019,siesta,martes,De 14:30 hs. a 14:45 hs.,224
